atcfdtg,stormnum,stormname,basin,stormtype,intensity,intensitymph,intensitykph,lat,lon,minsealevelpres,dtg
2016081718,09,GENESIS015,AL,Low,20,23,37,12.5,-19.4,1010,1800 UTC AUG 17
2016081800,09,GENESIS015,AL,Low,20,23,37,12.1,-21.1,1010,0000 UTC AUG 18
2016081806,09,GENESIS015,AL,Low,20,23,37,11.7,-22.7,1010,0600 UTC AUG 18
2016081812,09,GENESIS015,AL,Low,20,23,37,11.3,-24.2,1010,1200 UTC AUG 18
2016081818,09,INVEST,AL,Low,25,29,46,11,-25.6,1009,1800 UTC AUG 18
2016081900,09,INVEST,AL,Low,25,29,46,10.7,-27.1,1009,0000 UTC AUG 19
2016081906,09,INVEST,AL,Low,25,29,46,10.5,-29.1,1009,0600 UTC AUG 19
2016081912,09,INVEST,AL,Low,25,29,46,10.5,-30.8,1009,1200 UTC AUG 19
2016081918,09,INVEST,AL,Low,25,29,46,10.6,-32.4,1009,1800 UTC AUG 19
2016082000,09,INVEST,AL,Low,25,29,46,10.9,-33.7,1009,0000 UTC AUG 20
2016082006,09,INVEST,AL,Low,25,29,46,11.2,-35,1009,0600 UTC AUG 20
2016082012,09,INVEST,AL,Low,25,29,46,11.5,-36.4,1009,1200 UTC AUG 20
2016082018,09,INVEST,AL,Low,25,29,46,12,-38,1009,1800 UTC AUG 20
2016082100,09,INVEST,AL,Low,25,29,46,12.6,-39.6,1009,0000 UTC AUG 21
2016082106,09,INVEST,AL,Low,25,29,46,13.1,-41.4,1009,0600 UTC AUG 21
2016082112,09,INVEST,AL,Low,20,23,37,13.6,-43.1,1010,1200 UTC AUG 21
2016082118,09,INVEST,AL,Low,20,23,37,14,-44.6,1010,1800 UTC AUG 21
2016082200,09,INVEST,AL,Low,20,23,37,14.3,-46.2,1010,0000 UTC AUG 22
2016082206,09,INVEST,AL,Low,20,23,37,14.8,-48,1010,0600 UTC AUG 22
2016082212,09,INVEST,AL,Low,25,29,46,15.2,-49.9,1011,1200 UTC AUG 22
2016082218,09,INVEST,AL,Low,25,29,46,15.3,-51.6,1011,1800 UTC AUG 22
2016082300,09,INVEST,AL,Low,25,29,46,15.4,-53.3,1010,0000 UTC AUG 23
2016082306,09,INVEST,AL,Low,30,35,56,15.5,-55,1009,0600 UTC AUG 23
2016082312,09,INVEST,AL,Low,30,35,56,15.6,-56.7,1009,1200 UTC AUG 23
2016082318,09,INVEST,AL,Low,30,35,56,15.9,-58.3,1009,1800 UTC AUG 23
2016082400,09,INVEST,AL,Low,30,35,56,16.3,-60,1009,0000 UTC AUG 24
2016082406,09,INVEST,AL,Low,30,35,56,16.9,-61.7,1009,0600 UTC AUG 24
2016082412,09,INVEST,AL,Low,35,40,65,17.8,-63.3,1009,1200 UTC AUG 24
2016082418,09,INVEST,AL,Disturbance,40,46,74,18.7,-65.2,1009,1800 UTC AUG 24
2016082500,09,INVEST,AL,Disturbance,40,46,74,19.9,-67,1009,0000 UTC AUG 25
2016082506,09,INVEST,AL,Disturbance,40,46,74,20.6,-68.7,1008,0600 UTC AUG 25
2016082512,09,INVEST,AL,Disturbance,35,40,65,21,-70.6,1008,1200 UTC AUG 25
2016082518,09,INVEST,AL,Disturbance,30,35,56,21.4,-72.3,1008,1800 UTC AUG 25
2016082600,09,INVEST,AL,Disturbance,30,35,56,21.8,-73.1,1008,0000 UTC AUG 26
2016082606,09,INVEST,AL,Disturbance,25,29,46,22.1,-73.9,1009,0600 UTC AUG 26
2016082612,09,INVEST,AL,Disturbance,25,29,46,22.4,-74.6,1009,1200 UTC AUG 26
2016082618,09,INVEST,AL,Disturbance,25,29,46,22.6,-75.2,1009,1800 UTC AUG 26
2016082700,09,INVEST,AL,Disturbance,25,29,46,22.8,-76,1009,0000 UTC AUG 27
2016082706,09,INVEST,AL,Disturbance,25,29,46,23.1,-77.1,1009,0600 UTC AUG 27
2016082712,09,INVEST,AL,Disturbance,25,29,46,23.3,-77.9,1009,1200 UTC AUG 27
2016082718,09,INVEST,AL,Disturbance,25,29,46,23.4,-78.6,1009,1800 UTC AUG 27
2016082800,09,INVEST,AL,Disturbance,25,29,46,23.5,-79.1,1008,0000 UTC AUG 28
2016082806,09,INVEST,AL,Disturbance,25,29,46,23.7,-79.7,1009,0600 UTC AUG 28
2016082812,09,INVEST,AL,Disturbance,25,29,46,23.9,-80.6,1009,1200 UTC AUG 28
2016082818,09,NINE,AL,Tropical Depression,30,35,56,23.8,-81.5,1009,1800 UTC AUG 28
2016082900,09,NINE,AL,Tropical Depression,30,35,56,23.4,-82.3,1007,0000 UTC AUG 29
2016082906,09,NINE,AL,Tropical Depression,30,35,56,23.4,-83.5,1007,0600 UTC AUG 29
2016082912,09,NINE,AL,Tropical Depression,30,35,56,23.6,-84.1,1007,1200 UTC AUG 29
2016082918,09,NINE,AL,Tropical Depression,30,35,56,23.8,-84.6,1005,1800 UTC AUG 29
2016083000,09,NINE,AL,Tropical Depression,30,35,56,23.8,-85.2,1005,0000 UTC AUG 30
2016083006,09,NINE,AL,Tropical Depression,30,35,56,23.7,-86.4,1003,0600 UTC AUG 30
2016083012,09,NINE,AL,Tropical Depression,30,35,56,23.9,-86.8,1004,1200 UTC AUG 30
2016083018,09,NINE,AL,Tropical Depression,30,35,56,24.2,-87.1,1005,1800 UTC AUG 30
2016083100,09,NINE,AL,Tropical Depression,30,35,56,24.2,-87.7,1004,0000 UTC AUG 31
2016083106,09,NINE,AL,Tropical Storm,35,40,65,24.4,-88,1004,0600 UTC AUG 31
2016083112,09,NINE,AL,Tropical Storm,40,46,74,24.7,-87.9,1003,1200 UTC AUG 31
2016083118,09,HERMINE,AL,Tropical Storm,45,52,83,25.3,-87.8,1002,1800 UTC AUG 31
2016090100,09,HERMINE,AL,Tropical Storm,50,58,93,25.5,-87.1,1000,0000 UTC SEP 01
2016090106,09,HERMINE,AL,Tropical Storm,50,58,93,26,-87,999,0600 UTC SEP 01
2016090112,09,HERMINE,AL,Tropical Storm,55,63,102,27,-86.2,991,1200 UTC SEP 01
2016090118,09,HERMINE,AL,Hurricane,65,75,120,28,-85.4,989,1800 UTC SEP 01
2016090200,09,HERMINE,AL,Hurricane,70,81,130,29.1,-84.8,983,0000 UTC SEP 02
2016090206,09,HERMINE,AL,Hurricane,65,75,120,30.2,-84,982,0600 UTC SEP 02
2016090212,09,HERMINE,AL,Tropical Storm,45,52,83,31.4,-82.8,989,1200 UTC SEP 02
2016090218,09,HERMINE,AL,Tropical Storm,45,52,83,32.5,-81.3,993,1800 UTC SEP 02
2016090300,09,HERMINE,AL,Tropical Storm,45,52,83,33.7,-79.3,996,0000 UTC SEP 03
2016090306,09,HERMINE,AL,Tropical Storm,50,58,93,35,-77.3,997,0600 UTC SEP 03
2016090312,09,HERMINE,AL,Low,60,69,111,35.8,-75.5,993,1200 UTC SEP 03
2016090318,09,HERMINE,AL,Low,60,69,111,36,-74.1,997,1800 UTC SEP 03
2016090400,09,HERMINE,AL,Low,60,69,111,36.3,-72.7,998,0000 UTC SEP 04
2016090406,09,HERMINE,AL,Low,55,63,102,36.6,-71.3,998,0600 UTC SEP 04
2016090412,09,HERMINE,AL,Low,60,69,111,37,-70,999,1200 UTC SEP 04
2016090418,09,HERMINE,AL,Low,60,69,111,37.1,-69.1,999,1800 UTC SEP 04
2016090500,09,HERMINE,AL,Low,60,69,111,37.2,-68.4,997,0000 UTC SEP 05
2016090506,09,HERMINE,AL,Low,60,69,111,37.7,-68.3,997,0600 UTC SEP 05
2016090512,09,HERMINE,AL,Low,60,69,111,38.6,-68.5,996,1200 UTC SEP 05
2016090518,09,HERMINE,AL,Low,60,69,111,39.1,-69.2,997,1800 UTC SEP 05
2016090600,09,HERMINE,AL,Low,60,69,111,39.5,-70.3,997,0000 UTC SEP 06
2016090606,09,HERMINE,AL,Low,55,63,102,39.6,-71.3,996,0600 UTC SEP 06
2016090612,09,HERMINE,AL,Low,50,58,93,39.5,-71.7,997,1200 UTC SEP 06
